S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,1013,200533.00,98526860.80,499.00,488.00,492.00
2,2021-12-28,659,91046.00,44737396.50,498.00,488.00,494.00
3,2021-12-27,816,88858.00,44186856.30,510.00,491.00,493.00
4,2021-12-26,1002,130801.00,65306688.90,502.00,495.00,500.00
5,2021-12-23,714,77234.00,38044401.20,497.00,481.00,496.00
6,2021-12-22,645,91095.00,43764424.20,488.00,468.00,486.00
7,2021-12-21,721,89845.00,41642193.30,472.20,458.70,468.00
8,2021-12-20,1703,203606.00,94499569.30,471.90,449.80,463.00
9,2021-12-16,221,42355.00,18542483.60,441.00,430.10,441.00
10,2021-12-15,363,34320.00,15153181.20,453.00,430.00,435.00
11,2021-12-14,138,12873.00,5592150.70,440.00,420.50,437.00
12,2021-12-13,352,50626.00,20941548.70,421.70,406.10,421.00
13,2021-12-12,322,32738.00,13990157.70,441.00,421.00,421.00
14,2021-12-09,254,40348.00,17524497.10,440.00,430.00,439.00
15,2021-12-08,215,27135.00,11947566.30,445.00,437.00,441.00
16,2021-12-07,253,28400.00,12809128.00,456.90,448.00,448.00
17,2021-12-06,438,68814.00,30173810.40,459.00,430.00,451.00
18,2021-12-05,462,68193.00,30683279.50,465.00,444.00,446.00
19,2021-12-02,264,37874.00,17836807.30,476.90,467.00,467.00
20,2021-12-01,192,28814.00,13602652.90,475.00,470.00,473.00
21,2021-11-30,280,35963.00,16973702.70,480.00,468.00,473.00
22,2021-11-29,229,25152.00,11999793.10,483.00,469.00,477.50
23,2021-11-28,505,64115.00,30866245.70,495.00,470.00,476.00
24,2021-11-25,224,40312.00,19985326.70,499.50,491.00,495.00
25,2021-11-24,243,36718.00,18225695.90,498.90,495.10,495.90
26,2021-11-23,266,36868.00,18451920.90,505.00,495.00,497.10
27,2021-11-22,178,20171.00,10185826.00,509.00,503.00,504.20
28,2021-11-21,250,39307.00,19863586.70,510.00,502.50,504.00
29,2021-11-18,197,19692.00,9997711.70,511.00,503.10,508.20
30,2021-11-17,262,47611.00,24434353.50,518.00,508.20,512.90
31,2021-11-16,336,48725.00,24716496.20,513.00,500.00,508.00
32,2021-11-15,247,27116.00,13771404.20,514.90,506.00,506.50
33,2021-11-14,289,36575.00,18517638.80,510.00,497.00,508.90
34,2021-11-11,382,68078.00,34578001.70,520.00,500.00,507.00
35,2021-11-09,346,53120.00,27522253.70,530.00,512.00,515.00
36,2021-11-08,301,27478.00,14646766.00,544.00,528.00,528.00
37,2021-11-03,611,103451.00,56207790.50,549.00,533.00,542.90
38,2021-11-02,315,30675.00,15991201.50,529.90,515.00,528.50
39,2021-11-01,520,66975.00,35085959.10,535.00,520.00,521.00
40,2021-10-31,590,75090.00,39966443.40,544.00,524.00,532.00
41,2021-10-28,569,91581.00,49867046.40,560.00,538.00,538.00
42,2021-10-27,1041,193472.00,105003048.70,558.50,516.00,551.00
43,2021-10-26,439,60461.00,31346044.70,525.00,513.00,525.00
44,2021-10-25,353,47523.00,24108882.80,513.00,499.00,512.00
45,2021-10-24,337,39448.00,19694717.10,505.00,492.00,503.00
46,2021-10-21,217,30079.00,15058229.20,505.00,494.00,500.20
47,2021-10-20,225,28247.00,14082413.80,517.10,492.00,503.80
48,2021-10-19,376,42712.00,20766134.80,502.00,482.00,493.00
49,2021-10-18,341,38949.00,19403293.90,508.00,494.20,496.00
50,2021-10-17,153,13824.00,7014061.50,514.90,505.00,507.90
51,2021-10-11,250,26076.00,13179497.60,510.90,500.00,509.00
52,2021-10-10,396,51759.00,26358571.60,524.00,505.00,509.50
53,2021-10-06,367,39844.00,20236639.50,514.90,500.00,506.00
54,2021-10-05,314,55864.00,28139959.00,507.00,492.00,504.00
55,2021-10-04,340,54880.00,27300681.60,502.00,491.00,497.00
56,2021-10-03,416,62039.00,31014736.00,508.00,498.00,498.00
57,2021-09-30,388,48902.00,24909992.40,517.00,505.00,508.00
58,2021-09-29,616,78586.00,39445114.60,512.00,494.90,512.00
59,2021-09-28,549,65077.00,33262318.00,525.00,506.00,509.00
60,2021-09-27,486,71015.00,37137368.10,539.00,515.00,523.00
61,2021-09-26,522,80063.00,43366080.70,560.00,536.00,540.00
