S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,71,4798.00,3958278.70,851.40,815.00,851.40
2,2021-12-28,56,2596.00,2163466.20,856.00,821.30,849.90
3,2021-12-27,82,8257.00,6898740.40,877.00,825.00,856.00
4,2021-12-26,58,3820.00,3258775.50,875.00,842.80,860.00
5,2021-12-23,103,9501.00,8142395.80,890.30,849.70,851.00
6,2021-12-22,75,7276.00,6258537.20,873.10,845.00,872.90
7,2021-12-21,70,2422.00,2051342.00,883.00,833.00,855.00
8,2021-12-20,120,4924.00,4375516.60,930.00,850.00,850.00
9,2021-12-16,47,4700.00,3976586.00,909.00,826.00,891.40
10,2021-12-15,61,5263.00,4502403.00,899.60,834.10,857.00
11,2021-12-14,20,1133.00,956356.00,849.00,801.00,848.00
12,2021-12-13,97,5610.00,4531777.00,850.00,783.00,787.00
13,2021-12-12,48,1809.00,1540086.00,881.00,835.00,844.00
14,2021-12-09,42,3623.00,3168213.00,893.00,860.00,893.00
15,2021-12-08,29,2047.00,1822026.00,922.00,880.00,885.00
16,2021-12-07,48,3109.00,2829141.40,963.00,890.00,904.00
17,2021-12-06,85,4192.00,3829515.80,945.10,875.00,927.00
18,2021-12-05,79,5941.00,5570956.50,969.00,905.00,920.00
19,2021-12-02,127,7014.00,6565855.20,999.00,913.40,913.40
20,2021-12-01,203,14924.00,13984702.00,985.40,896.00,980.00
21,2021-11-30,85,7203.00,6409241.00,905.00,879.00,895.90
22,2021-11-29,29,1522.00,1343298.20,934.00,853.00,862.00
23,2021-11-28,82,4338.00,3834816.20,909.80,870.00,870.00
24,2021-11-25,102,6799.00,6214079.30,928.30,878.20,928.30
25,2021-11-24,58,5126.00,4488211.00,902.00,868.00,896.00
26,2021-11-23,47,5235.00,4690643.50,912.00,866.50,885.00
27,2021-11-22,91,7509.00,6791604.10,936.30,877.10,884.00
28,2021-11-21,191,9826.00,8957353.00,934.00,867.00,918.00
29,2021-11-18,66,6279.00,5417503.40,888.00,829.00,850.00
30,2021-11-17,45,5227.00,4388619.60,859.90,831.00,859.90
31,2021-11-16,34,2259.00,1916954.90,855.00,836.00,845.00
32,2021-11-15,30,1404.00,1154282.00,835.00,815.00,820.00
33,2021-11-14,19,724.00,583929.30,816.00,800.00,803.70
34,2021-11-11,46,2242.00,1760153.30,802.00,772.00,800.00
35,2021-11-09,78,5960.00,4820585.50,835.00,782.00,787.00
36,2021-11-08,16,680.00,578705.00,880.90,832.00,840.00
37,2021-11-03,31,2133.00,1819727.60,867.00,835.00,846.80
38,2021-11-02,14,680.00,579391.00,865.00,833.00,850.00
39,2021-11-01,44,4152.00,3552765.40,875.00,849.00,850.00
40,2021-10-31,81,4619.00,3969980.00,889.00,827.00,872.00
41,2021-10-28,28,1726.00,1446971.00,850.00,817.00,842.10
42,2021-10-27,59,5521.00,4705846.00,877.20,830.00,849.00
43,2021-10-26,58,2961.00,2476222.00,861.00,807.70,845.00
44,2021-10-25,68,3369.00,2642663.00,814.00,750.00,808.00
45,2021-10-24,23,1009.00,775561.00,785.40,748.00,762.00
46,2021-10-21,10,309.00,236209.00,790.00,752.00,760.00
47,2021-10-20,28,1640.00,1253745.00,779.00,748.80,779.00
48,2021-10-19,62,3347.00,2458931.00,780.00,706.00,749.20
