S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,169,40088.00,14203816.40,356.00,350.00,354.00
2,2021-12-28,225,36901.00,12875470.30,355.00,338.20,352.00
3,2021-12-27,311,63171.00,22589549.70,363.00,355.00,356.00
4,2021-12-26,312,53556.00,19125145.50,362.00,348.50,358.00
5,2021-12-23,267,37310.00,13066461.50,353.00,344.10,350.00
6,2021-12-22,260,24319.00,8426401.50,349.00,340.00,347.50
7,2021-12-21,157,17326.00,5845402.90,340.00,332.00,337.00
8,2021-12-20,281,40645.00,13473360.00,341.80,328.00,332.00
9,2021-12-16,187,20844.00,6998876.20,340.00,333.00,335.10
10,2021-12-15,392,53525.00,18327577.30,355.00,330.10,340.00
11,2021-12-14,169,16643.00,5571544.90,345.00,324.20,341.00
12,2021-12-13,344,45060.00,14518121.60,326.00,319.00,322.20
13,2021-12-12,430,43009.00,14274325.50,340.00,327.00,327.00
14,2021-12-09,292,35942.00,12226114.20,345.00,335.00,339.00
15,2021-12-08,276,34025.00,11732509.60,357.00,342.00,344.00
16,2021-12-07,314,37126.00,13128118.00,359.00,350.00,350.00
17,2021-12-06,414,54999.00,19200470.70,354.00,340.00,351.00
18,2021-12-05,375,59627.00,20963020.80,358.00,350.00,350.00
19,2021-12-02,219,38037.00,13652152.90,365.00,357.00,357.00
20,2021-12-01,237,31431.00,11325518.20,365.00,358.00,360.00
21,2021-11-30,255,48904.00,17486073.00,362.50,355.00,359.00
22,2021-11-29,394,94402.00,33945856.80,366.00,355.00,357.00
23,2021-11-28,492,71149.00,26032973.10,375.00,360.00,361.00
24,2021-11-25,280,43608.00,16434884.40,382.00,373.00,375.10
25,2021-11-24,378,59461.00,22345154.00,381.90,373.00,377.00
26,2021-11-23,250,41575.00,15909734.20,387.90,381.10,381.90
27,2021-11-22,243,36330.00,14006050.90,388.40,383.00,387.90
28,2021-11-21,320,40428.00,15673914.80,394.90,384.00,384.00
29,2021-11-18,308,46042.00,18013910.30,400.00,386.00,389.00
30,2021-11-17,324,39497.00,15748745.70,407.80,395.00,396.00
31,2021-11-16,421,71340.00,28078828.00,404.90,381.00,401.00
32,2021-11-15,315,35600.00,13727723.50,390.00,382.20,386.00
33,2021-11-14,329,45599.00,17479662.30,390.50,380.00,384.00
34,2021-11-11,507,60551.00,23234490.00,390.00,380.00,383.00
35,2021-11-09,725,113804.00,44480031.00,399.00,385.00,390.00
36,2021-11-08,390,56228.00,22564564.10,406.00,400.00,400.00
37,2021-11-03,409,63025.00,25592944.50,410.00,404.80,404.80
38,2021-11-02,309,38314.00,15576515.00,412.00,405.00,408.00
39,2021-11-01,609,90725.00,36987705.80,413.00,405.00,406.00
40,2021-10-31,662,142919.00,57764494.00,408.00,402.00,405.00
41,2021-10-28,518,86887.00,35296989.50,414.00,403.00,403.50
42,2021-10-27,717,108666.00,44215829.50,412.00,398.00,408.00
43,2021-10-26,729,117960.00,47683085.30,410.00,401.00,402.60
44,2021-10-25,717,104486.00,41926228.80,405.90,395.00,403.00
45,2021-10-24,1158,143104.00,57434054.90,418.00,394.00,402.00
46,2021-10-21,3476,550763.00,271297609.80,500.00,487.00,488.80
47,2021-10-20,792,106955.00,52948708.50,504.00,490.00,493.90
48,2021-10-19,1026,151621.00,73911659.70,500.00,480.20,490.00
49,2021-10-18,1092,195487.00,98174493.60,510.00,496.00,499.00
50,2021-10-17,572,106071.00,53991240.50,522.00,503.00,510.00
51,2021-10-11,978,196559.00,99985084.70,520.00,504.00,512.00
52,2021-10-10,1044,154944.00,79337184.10,519.00,509.00,512.00
53,2021-10-06,601,81944.00,41729690.90,514.70,502.10,509.00
54,2021-10-05,618,107730.00,53893367.70,506.00,497.60,501.00
