S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,293,44404.00,12159732.60,280.00,270.00,273.00
2,2021-12-28,474,81741.00,22254586.30,280.00,264.00,274.90
3,2021-12-27,660,118407.00,33305303.90,295.40,270.00,272.00
4,2021-12-26,608,115254.00,33393501.00,297.00,285.80,289.80
5,2021-12-23,819,128123.00,37791022.70,307.00,282.00,291.00
6,2021-12-22,934,153259.00,44300614.90,298.00,275.00,296.00
7,2021-12-21,501,93734.00,25074347.10,277.00,250.80,274.00
8,2021-12-20,595,105292.00,27294843.20,267.00,254.50,255.90
9,2021-12-16,759,126766.00,34247563.50,282.00,262.00,267.00
10,2021-12-15,1512,257848.00,71941868.70,284.30,262.70,278.50
11,2021-12-14,526,93895.00,23735594.80,258.50,238.00,258.50
12,2021-12-13,947,171211.00,41410069.10,258.00,233.10,235.00
13,2021-12-12,799,150746.00,40365528.20,286.60,253.00,259.00
14,2021-12-09,688,132288.00,37313662.30,292.00,274.40,280.20
15,2021-12-08,459,66817.00,19548114.20,305.00,285.00,288.00
16,2021-12-07,583,99545.00,30691469.40,323.50,297.00,299.00
17,2021-12-06,1004,187946.00,56541868.70,320.00,283.40,312.00
18,2021-12-05,648,122209.00,37738945.80,320.00,302.00,304.00
19,2021-12-02,577,91689.00,29371702.50,336.60,315.00,318.00
20,2021-12-01,455,89366.00,29611118.90,336.60,328.00,330.00
21,2021-11-30,343,65234.00,21363242.20,334.40,320.50,330.00
22,2021-11-29,583,102812.00,33601178.70,333.90,319.00,326.00
23,2021-11-28,991,176308.00,57920815.00,342.00,318.50,321.00
24,2021-11-25,709,150280.00,51490432.70,347.00,338.00,342.10
25,2021-11-24,641,125449.00,42349506.80,347.00,325.00,340.00
26,2021-11-23,738,131881.00,44016474.70,345.00,328.40,333.50
27,2021-11-22,531,132030.00,45471125.90,351.00,340.00,340.00
28,2021-11-21,606,130156.00,44467251.40,348.00,335.00,342.00
29,2021-11-18,923,171715.00,58826879.50,357.00,334.00,339.90
30,2021-11-17,1414,294506.00,105127873.20,365.00,345.00,347.00
31,2021-11-16,911,228742.00,77643674.60,348.00,325.00,347.90
32,2021-11-15,766,152590.00,50460671.30,337.90,327.00,329.80
33,2021-11-14,770,140098.00,44885001.90,330.00,310.00,321.00
34,2021-11-11,1084,187566.00,59835760.50,330.00,313.60,313.80
35,2021-11-09,1343,295831.00,97054374.80,344.00,320.70,326.80
36,2021-11-08,857,160780.00,55297098.90,360.70,336.00,340.80
37,2021-11-03,1239,252202.00,89850138.90,364.00,350.90,353.70
38,2021-11-02,703,137888.00,49333834.60,366.10,346.00,364.00
39,2021-11-01,1543,333699.00,123107834.20,394.00,356.80,359.00
40,2021-10-31,3401,927002.00,315715272.40,377.40,317.70,372.00
41,2021-10-28,407,80001.00,27341253.00,363.00,333.20,353.00
42,2021-10-27,547,100385.00,35233606.90,370.00,343.00,349.00
43,2021-10-26,180,18952.00,6769340.00,363.00,336.00,363.00
44,2021-10-25,165,18050.00,5736577.50,331.10,305.00,331.00
45,2021-10-24,95,6374.00,1897203.30,310.00,283.40,301.00
46,2021-10-21,104,6570.00,1977109.00,317.00,293.10,295.30
47,2021-10-20,115,9086.00,2673038.00,299.20,277.00,299.20
48,2021-10-19,91,4334.00,1210992.00,290.00,271.00,272.00
49,2021-10-18,62,5414.00,1589548.00,303.00,290.00,290.00
50,2021-10-17,31,1622.00,487199.00,308.00,295.00,304.10
51,2021-10-11,55,4904.00,1490180.00,311.00,298.00,308.00
52,2021-10-10,72,6454.00,2045096.50,325.00,306.00,308.00
53,2021-10-06,95,9771.00,2998680.00,315.00,303.90,310.00
54,2021-10-05,108,6547.00,1943353.00,312.00,290.00,298.00
55,2021-10-04,115,7845.00,2282451.00,300.00,285.00,289.00
56,2021-10-03,114,7467.00,2261869.00,310.00,295.00,301.00
57,2021-09-30,88,7365.00,2448282.50,346.30,314.00,315.00
58,2021-09-29,136,9498.00,3036838.70,336.60,303.80,333.00
59,2021-09-28,208,16991.00,5421946.50,340.00,309.00,312.90
60,2021-09-27,146,9732.00,3299005.00,366.00,330.00,340.00
61,2021-09-26,225,19904.00,6984640.50,372.00,342.00,351.90
62,2021-09-23,170,12831.00,4873237.40,390.00,365.00,372.00
63,2021-09-22,217,22861.00,8618585.30,385.00,362.10,384.00
64,2021-09-21,365,33589.00,11526046.30,372.00,313.20,355.00
65,2021-09-20,276,19346.00,6923582.20,384.00,347.50,348.00
66,2021-09-16,207,17707.00,6817403.60,398.00,378.00,386.10
67,2021-09-15,133,8935.00,3591924.00,412.50,399.00,400.10
68,2021-09-14,148,9055.00,3708395.70,424.00,405.00,405.00
69,2021-09-13,214,16080.00,6801926.20,440.00,411.00,417.00
70,2021-09-12,321,23600.00,10083193.00,435.00,411.00,428.00
71,2021-09-09,199,17241.00,7069352.10,418.20,402.00,403.00
72,2021-09-08,172,20478.00,8480523.20,420.00,401.80,402.00
73,2021-09-07,206,15241.00,6351522.00,431.00,400.00,410.00
74,2021-09-06,232,16773.00,6594579.90,412.50,370.00,412.50
75,2021-09-05,277,27220.00,10101369.60,390.10,358.40,375.00
76,2021-09-02,200,17379.00,7010603.20,418.00,398.00,398.00
77,2021-09-01,189,16244.00,6753198.50,425.00,388.00,414.00
78,2021-08-31,253,16823.00,6987198.10,442.60,406.70,411.00
79,2021-08-29,600,54599.00,24150840.90,466.00,412.00,434.00
80,2021-08-26,577,43128.00,18067497.00,431.20,385.00,431.20
81,2021-08-25,632,52525.00,20513483.30,401.40,368.60,392.00
82,2021-08-24,179,13541.00,5550430.50,445.90,409.50,409.50
83,2021-08-19,777,67285.00,31162551.70,502.00,450.00,455.00
84,2021-08-18,499,51008.00,25074708.40,492.40,456.60,492.40
85,2021-08-17,807,84473.00,37250657.10,447.70,398.90,447.70
86,2021-08-16,471,44139.00,17908137.90,412.00,387.10,407.00
87,2021-08-15,397,38365.00,14920674.80,405.00,376.00,395.00
88,2021-08-12,407,32005.00,12883120.40,414.00,399.90,401.00
89,2021-08-11,322,24558.00,10010081.00,411.00,403.00,408.00
90,2021-08-10,584,43421.00,17836202.90,432.00,401.00,401.30
91,2021-08-09,514,53384.00,21497474.50,424.40,394.00,409.00
92,2021-08-08,639,72837.00,28765930.00,418.00,375.00,400.00
93,2021-08-05,635,63229.00,25797484.80,425.00,398.00,399.50
94,2021-08-04,761,73907.00,29740926.30,418.00,385.00,417.00
95,2021-08-03,580,60660.00,22595522.90,382.00,354.00,382.00
96,2021-08-02,1017,110616.00,40779447.90,374.50,343.00,370.80
97,2021-08-01,498,53294.00,18004815.20,345.00,320.00,342.00
98,2021-07-29,350,29843.00,9647082.70,330.00,318.00,326.00
99,2021-07-28,587,63237.00,21667425.30,362.80,331.00,333.00
100,2021-07-27,831,82073.00,27613449.50,344.30,310.00,342.00
101,2021-07-26,378,41424.00,13175479.00,325.00,313.00,313.00
102,2021-07-25,642,67121.00,20870358.20,321.00,293.10,315.00
103,2021-07-22,225,16611.00,4897550.50,300.00,290.10,292.50
104,2021-07-20,151,12169.00,3554299.00,295.00,287.00,291.00
